time,wx,wy,wz
0.832,-1.56,0.01,-0.81
0.837,-1.55,-0.10,-0.76
0.842,-1.56,-0.17,-0.68
0.847,-1.56,-0.15,-0.59
0.853,-1.53,-0.11,-0.47
0.858,-1.51,-0.08,-0.38
0.862,-1.54,-0.06,-0.31
0.867,-1.60,-0.07,-0.25
0.872,-1.65,-0.09,-0.21
0.878,-1.65,-0.13,-0.21
0.883,-1.63,-0.25,-0.24
0.887,-1.60,-0.35,-0.25
0.896,-1.59,-0.33,-0.24
0.899,-1.58,-0.43,-0.20
0.902,-1.49,-0.58,-0.06
0.908,-1.26,-0.64,0.09
0.913,-1.03,-0.69,0.18
0.918,-0.90,-0.80,0.21
0.922,-0.85,-0.89,0.21
0.928,-0.86,-0.78,0.21
0.932,-0.89,-0.57,0.22
0.938,-0.88,-0.43,0.27
0.942,-0.84,-0.38,0.39
0.948,-0.78,-0.40,0.55
0.952,-0.70,-0.45,0.77
0.957,-0.65,-0.55,1.08
0.963,-0.62,-0.74,1.44
0.967,-0.66,-1.05,1.77
0.972,-0.72,-1.37,2.02
0.978,-0.75,-1.59,2.12
0.982,-0.70,-1.72,2.07
0.988,-0.62,-1.70,1.96
0.999,-0.49,-1.48,1.85
1.000,-0.28,-1.13,1.76
1.002,-0.06,-0.75,1.69
1.007,0.17,-0.34,1.61
1.013,0.40,0.01,1.54
1.018,0.57,0.17,1.52
1.022,0.70,0.28,1.53
1.028,0.83,0.35,1.59
1.032,0.99,0.34,1.73
1.037,1.17,0.23,1.90
1.043,1.25,-0.18,2.03
1.048,1.28,-0.69,2.18
1.053,1.21,-1.37,2.54
1.059,1.01,-2.12,2.94
1.063,0.80,-2.52,3.04
1.068,0.71,-2.65,2.83
1.073,0.76,-2.64,2.54
1.078,0.86,-2.51,2.33
1.083,0.90,-2.15,2.17
1.088,0.87,-1.61,2.02
1.099,0.79,-1.03,1.90
1.100,0.70,-0.58,1.79
1.105,0.64,-0.39,1.72
1.107,0.57,-0.45,1.67
1.117,0.52,-0.68,1.61
1.118,0.52,-0.94,1.50
1.123,0.52,-1.08,1.33
1.128,0.50,-1.12,1.10
1.133,0.47,-1.13,0.87
1.138,0.44,-1.14,0.67
1.143,0.42,-1.10,0.57
1.148,0.40,-1.00,0.52
1.153,0.38,-0.96,0.47
1.160,0.36,-1.02,0.44
1.163,0.32,-1.12,0.40
1.168,0.28,-1.13,0.35
1.172,0.22,-1.04,0.36
1.179,0.22,-1.00,0.43
1.183,0.30,-1.07,0.45
1.188,0.38,-1.20,0.41
1.200,0.48,-1.39,0.30
1.201,0.60,-1.61,0.17
1.203,0.70,-1.75,-0.02
1.208,0.70,-1.61,-0.19
1.216,0.66,-1.27,-0.05
1.218,0.66,-1.06,0.32
1.223,0.62,-1.17,0.64
1.228,0.56,-1.12,1.01
1.232,0.54,-0.96,1.34
1.238,0.57,-0.80,1.53
1.243,0.66,-0.73,1.70
1.248,0.74,-0.87,1.82
1.252,0.77,-1.11,1.87
1.258,0.77,-1.24,1.81
1.263,0.80,-1.24,1.67
1.269,0.84,-1.12,1.46
1.273,0.80,-0.92,1.16
1.279,0.73,-0.65,0.97
1.283,0.64,-0.31,0.95
1.288,0.54,-0.08,0.96
1.300,0.44,-0.04,0.94
1.301,0.37,-0.12,0.96
1.304,0.27,-0.24,1.05
1.308,0.13,-0.50,1.24
1.317,-0.16,-0.80,1.44
1.319,-0.47,-0.78,1.30
1.323,-0.50,-0.57,1.05
1.329,-0.24,-0.19,0.76
1.333,0.15,0.27,0.47
1.338,0.42,0.45,0.26
1.343,0.47,0.32,0.06
1.348,0.45,0.18,-0.06
1.353,0.51,0.06,-0.06
1.359,0.65,0.09,-0.00
1.363,0.83,0.40,0.07
1.368,1.05,0.81,0.14
1.373,1.30,1.18,0.19
1.378,1.58,1.43,0.27
1.383,1.83,1.68,0.38
1.388,2.03,1.90,0.48
1.400,2.18,2.00,0.55
1.401,2.31,2.04,0.57
1.403,2.45,2.09,0.55
1.408,2.62,2.04,0.62
1.416,2.77,1.98,0.74
1.418,2.81,1.90,0.82
1.423,2.72,1.79,0.92
1.434,2.56,1.69,1.09
1.434,2.38,1.58,1.27
1.438,2.22,1.43,1.48
1.453,2.05,1.32,1.74
1.454,1.90,1.22,2.01
1.454,1.71,1.04,2.21
1.459,1.53,0.81,2.35
1.473,1.43,0.68,2.44
1.474,1.43,0.72,2.42
1.475,1.51,0.92,2.27
1.479,1.54,1.11,1.94
1.484,1.58,1.19,1.53
1.488,1.63,1.31,1.22
1.500,1.60,1.41,0.93
1.502,1.51,1.43,0.64
1.504,1.41,1.42,0.38
1.508,1.39,1.31,0.15
1.515,1.37,1.10,-0.06
1.518,1.35,0.93,-0.21
1.523,1.34,0.99,-0.30
1.528,1.35,1.18,-0.31
1.533,1.38,1.31,-0.30
1.539,1.45,1.35,-0.29
1.542,1.55,1.39,-0.20
1.548,1.71,1.43,-0.11
1.553,1.87,1.51,-0.08
1.558,1.91,1.64,-0.13
1.564,1.82,1.76,-0.21
1.568,1.66,1.89,-0.33
1.574,1.48,1.96,-0.43
1.579,1.36,2.04,-0.40
1.584,1.20,2.19,-0.27
1.589,1.04,2.28,-0.12
1.601,0.90,2.31,0.02
1.601,0.82,2.29,0.13
1.604,0.82,2.21,0.18
1.608,0.87,2.08,0.19
1.618,0.90,2.00,0.17
1.619,0.91,1.96,0.13
1.623,0.95,1.84,0.02
1.629,1.06,1.60,-0.14
1.633,1.12,1.39,-0.26
1.640,1.13,1.16,-0.32
1.645,1.13,0.91,-0.30
1.648,1.13,0.65,-0.26
1.653,1.17,0.38,-0.21
1.658,1.20,0.14,-0.21
1.665,1.17,0.06,-0.27
1.668,1.12,0.03,-0.37
1.674,1.12,-0.00,-0.47
1.679,1.10,0.01,-0.51
1.684,0.97,0.02,-0.52
1.688,0.82,-0.01,-0.51
1.693,0.71,-0.05,-0.50
1.698,0.58,-0.04,-0.46
1.703,0.45,-0.03,-0.43
1.708,0.32,0.01,-0.41
1.714,0.21,0.08,-0.37
1.719,0.13,0.16,-0.33
1.723,0.09,0.25,-0.27
1.729,0.06,0.38,-0.21
1.733,0.06,0.51,-0.15
1.738,0.07,0.59,-0.12
1.744,0.07,0.66,-0.11
1.749,0.06,0.71,-0.10
1.753,0.03,0.72,-0.11
1.758,-0.01,0.71,-0.12
1.763,-0.07,0.64,-0.15
1.768,-0.16,0.50,-0.20
1.773,-0.28,0.36,-0.26
1.779,-0.41,0.25,-0.32
1.783,-0.54,0.17,-0.34
1.788,-0.66,0.12,-0.33
1.795,-0.76,0.10,-0.29
1.798,-0.82,0.09,-0.23
1.803,-0.79,0.11,-0.17
1.808,-0.71,0.13,-0.09
1.818,-0.70,0.06,-0.02
1.819,-0.77,-0.09,0.07
1.823,-0.85,-0.33,0.20
1.835,-0.85,-0.61,0.29
