time,wx,wy,wz
0.846,0.41,-0.26,-0.93
0.862,0.47,-0.18,-0.95
0.862,0.50,-0.06,-0.97
0.862,0.48,0.10,-1.02
0.866,0.42,0.29,-1.11
0.871,0.35,0.46,-1.23
0.876,0.30,0.60,-1.35
0.881,0.28,0.69,-1.43
0.888,0.28,0.69,-1.49
0.893,0.30,0.60,-1.53
0.896,0.35,0.44,-1.57
0.908,0.42,0.22,-1.56
0.909,0.50,-0.05,-1.51
0.911,0.58,-0.32,-1.41
0.916,0.68,-0.55,-1.27
0.920,0.79,-0.74,-1.12
0.926,0.91,-0.90,-0.99
0.931,1.02,-1.04,-0.92
0.936,1.13,-1.08,-0.87
0.940,1.23,-1.03,-0.84
0.946,1.29,-0.88,-0.79
0.955,1.31,-0.66,-0.74
0.956,1.35,-0.41,-0.69
0.961,1.42,-0.16,-0.66
0.971,1.49,0.00,-0.66
0.971,1.46,0.06,-0.67
0.975,1.35,0.11,-0.67
0.981,1.19,0.20,-0.62
0.986,1.12,0.29,-0.55
0.990,1.25,0.36,-0.54
0.996,1.59,0.59,-0.62
1.001,1.92,0.88,-0.74
1.006,1.96,1.03,-0.87
1.011,1.72,0.96,-0.97
1.016,1.30,0.72,-1.00
1.021,0.79,0.42,-1.02
1.026,0.35,0.14,-1.03
1.031,0.02,-0.12,-1.07
1.036,-0.26,-0.30,-1.11
1.041,-0.56,-0.32,-1.09
1.046,-0.89,-0.23,-1.00
1.059,-1.17,-0.11,-0.88
1.060,-1.33,0.05,-0.73
1.061,-1.35,0.26,-0.62
1.085,-1.31,0.35,-0.60
1.086,-1.25,0.21,-0.68
1.086,-1.10,0.03,-0.79
1.086,-0.82,0.07,-0.79
1.086,-0.50,0.16,-0.71
1.091,-0.20,0.19,-0.61
1.096,0.01,0.10,-0.50
1.101,0.13,-0.07,-0.42
1.106,0.19,-0.26,-0.35
1.111,0.23,-0.41,-0.31
1.116,0.27,-0.47,-0.26
1.121,0.32,-0.41,-0.18
1.127,0.40,-0.32,-0.08
1.131,0.50,-0.28,0.03
1.136,0.65,-0.32,0.19
1.141,0.85,-0.32,0.41
1.146,1.08,-0.23,0.71
1.158,1.30,-0.15,1.06
1.159,1.46,-0.35,1.35
1.161,1.46,-0.67,1.56
1.186,1.29,-0.85,1.83
1.187,1.06,-0.92,2.15
1.188,0.84,-0.88,2.47
1.189,0.70,-0.98,2.68
1.189,0.65,-1.19,2.77
1.191,0.68,-1.13,2.85
1.196,0.76,-0.90,2.90
1.201,0.89,-0.65,2.91
