time,wx,wy,wz
0.870,0.16,-0.03,-0.65
0.875,0.10,-0.37,-0.47
0.880,0.07,-0.56,-0.35
0.885,0.05,-0.73,-0.26
0.890,0.01,-0.98,-0.16
0.895,-0.06,-1.34,-0.06
0.899,-0.14,-1.83,0.06
0.905,-0.21,-2.24,0.19
0.911,-0.24,-2.53,0.28
0.915,-0.23,-2.72,0.35
0.919,-0.20,-2.80,0.40
0.924,-0.14,-2.79,0.46
0.930,-0.06,-2.71,0.50
0.935,0.04,-2.59,0.55
0.940,0.16,-2.43,0.59
0.951,0.29,-2.23,0.62
0.952,0.42,-1.97,0.64
0.955,0.56,-1.72,0.64
0.968,0.66,-1.51,0.60
0.970,0.72,-1.33,0.55
0.970,0.77,-1.17,0.50
0.976,0.81,-1.03,0.43
0.981,0.83,-0.91,0.35
0.985,0.82,-0.75,0.25
0.989,0.79,-0.50,0.12
0.995,0.76,-0.16,-0.04
0.999,0.72,0.23,-0.21
1.004,0.67,0.55,-0.40
1.011,0.61,0.75,-0.56
1.014,0.53,0.85,-0.71
1.019,0.45,0.86,-0.82
1.024,0.37,0.79,-0.89
1.030,0.28,0.64,-0.92
1.034,0.18,0.42,-0.93
1.039,0.06,0.15,-0.93
1.048,-0.06,-0.17,-0.93
1.050,-0.21,-0.53,-0.93
1.055,-0.36,-0.90,-0.93
1.061,-0.53,-1.25,-0.91
1.065,-0.69,-1.52,-0.88
1.069,-0.85,-1.69,-0.84
1.074,-0.98,-1.78,-0.80
1.080,-1.10,-1.80,-0.75
1.085,-1.19,-1.76,-0.69
1.090,-1.25,-1.71,-0.62
1.095,-1.27,-1.61,-0.55
1.100,-1.27,-1.47,-0.47
1.105,-1.25,-1.30,-0.38
1.111,-1.20,-1.10,-0.29
1.115,-1.14,-0.89,-0.20
1.120,-1.08,-0.70,-0.09
1.125,-1.03,-0.53,0.02
1.130,-1.01,-0.45,0.12
1.135,-1.04,-0.56,0.19
1.140,-1.12,-0.82,0.26
1.145,-1.18,-1.06,0.33
1.150,-1.19,-1.21,0.35
1.155,-1.15,-1.27,0.35
1.168,-1.08,-1.22,0.32
1.169,-0.97,-1.09,0.28
1.170,-0.83,-0.93,0.24
1.175,-0.69,-0.78,0.20
1.183,-0.55,-0.66,0.15
1.185,-0.41,-0.56,0.10
1.190,-0.19,-0.30,0.05
1.195,0.32,0.53,-0.05
1.199,0.95,1.35,-0.14
1.204,1.34,1.49,-0.14
1.210,1.45,1.28,-0.13
1.215,1.42,1.09,-0.20
1.219,1.31,1.01,-0.34
1.224,1.15,0.99,-0.48
1.230,0.97,1.00,-0.58
1.235,0.82,1.09,-0.61
1.239,0.69,1.24,-0.58
1.244,0.60,1.40,-0.56
1.250,0.53,1.46,-0.54
1.255,0.46,1.40,-0.52
1.261,0.37,1.24,-0.49
1.265,0.27,1.03,-0.47
1.270,0.17,0.81,-0.45
1.275,0.06,0.62,-0.45
1.283,-0.01,0.46,-0.44
1.285,-0.05,0.34,-0.40
1.290,-0.07,0.22,-0.36
1.301,-0.08,0.11,-0.34
1.302,-0.07,-0.02,-0.32
1.305,-0.06,-0.12,-0.30
1.319,-0.07,-0.23,-0.30
1.320,-0.09,-0.36,-0.32
1.320,-0.09,-0.48,-0.36
1.325,-0.07,-0.54,-0.39
1.339,-0.04,-0.56,-0.40
1.339,-0.06,-0.53,-0.42
1.340,-0.13,-0.46,-0.44
1.358,-0.25,-0.37,-0.46
1.359,-0.39,-0.31,-0.48
1.359,-0.46,-0.36,-0.50
1.363,-0.59,-0.33,-0.57
1.364,-0.84,-0.19,-0.67
1.369,-1.11,-0.05,-0.73
1.375,-1.39,0.08,-0.73
1.380,-1.65,0.17,-0.67
1.384,-1.88,0.18,-0.57
1.389,-2.05,0.10,-0.44
1.395,-2.15,-0.08,-0.34
1.399,-2.20,-0.27,-0.25
1.404,-2.17,-0.51,-0.14
1.410,-2.03,-0.81,0.04
1.415,-1.85,-1.15,0.24
1.419,-1.69,-1.46,0.40
1.424,-1.57,-1.70,0.54
1.430,-1.51,-1.89,0.65
1.434,-1.50,-2.01,0.73
1.439,-1.55,-2.04,0.79
1.445,-1.63,-2.01,0.84
1.451,-1.75,-1.93,0.89
1.455,-1.87,-1.84,0.91
1.462,-1.98,-1.76,0.92
1.465,-2.08,-1.69,0.90
1.469,-2.15,-1.65,0.87
1.475,-2.21,-1.64,0.83
1.482,-2.25,-1.65,0.79
1.484,-2.28,-1.67,0.76
1.490,-2.31,-1.69,0.75
1.496,-2.35,-1.70,0.75
1.499,-2.40,-1.72,0.76
1.504,-2.46,-1.77,0.76
1.510,-2.53,-1.82,0.78
1.515,-2.62,-1.87,0.79
1.520,-2.73,-1.93,0.81
1.524,-2.84,-2.00,0.82
1.530,-2.95,-2.07,0.82
1.534,-3.05,-2.11,0.83
1.539,-3.13,-2.10,0.84
1.545,-3.20,-2.05,0.85
1.550,-3.27,-1.94,0.86
1.555,-3.34,-1.84,0.89
1.560,-3.41,-1.81,0.95
1.566,-3.46,-1.73,0.96
1.570,-3.47,-1.54,0.89
1.575,-3.45,-1.27,0.76
1.580,-3.42,-1.03,0.62
1.585,-3.40,-0.88,0.46
1.590,-3.38,-0.77,0.27
1.595,-3.36,-0.71,0.10
1.600,-3.33,-0.75,-0.03
1.605,-3.30,-0.82,-0.12
1.612,-3.24,-0.92,-0.18
1.616,-3.16,-1.09,-0.20
1.620,-3.05,-1.29,-0.18
1.625,-2.95,-1.49,-0.12
1.630,-2.84,-1.73,-0.04
1.636,-2.74,-1.99,0.07
1.640,-2.64,-2.22,0.15
1.645,-2.55,-2.38,0.20
1.650,-2.45,-2.47,0.22
1.655,-2.32,-2.59,0.19
1.660,-2.14,-2.71,0.16
1.665,-1.88,-2.82,0.16
1.671,-1.52,-2.93,0.18
1.676,-1.07,-3.07,0.23
1.685,-0.59,-3.18,0.31
1.686,-0.13,-3.30,0.41
1.690,0.28,-3.46,0.52
1.702,0.56,-3.54,0.59
1.703,0.60,-3.46,0.58
1.705,0.29,-3.11,0.46
1.710,-0.35,-2.56,0.22
