time,wx,wy,wz
0.865,-0.33,0.75,-1.53
0.871,-0.34,0.93,-1.51
0.876,-0.31,1.07,-1.49
0.881,-0.26,1.11,-1.46
0.886,-0.19,1.03,-1.43
0.891,-0.11,0.91,-1.41
0.896,-0.04,0.80,-1.41
0.901,-0.00,0.69,-1.43
0.906,0.02,0.55,-1.44
0.911,0.04,0.42,-1.42
0.916,0.05,0.35,-1.37
0.921,0.05,0.31,-1.28
0.925,0.04,0.28,-1.18
0.931,0.02,0.28,-1.10
0.940,0.01,0.35,-1.05
0.941,0.01,0.42,-1.04
0.946,0.02,0.46,-1.08
0.957,0.02,0.48,-1.17
0.958,0.02,0.52,-1.28
0.962,0.01,0.58,-1.39
0.966,0.00,0.66,-1.46
0.972,-0.01,0.74,-1.50
0.977,-0.03,0.80,-1.52
0.981,-0.05,0.76,-1.55
0.987,-0.04,0.63,-1.61
0.991,-0.04,0.61,-1.64
0.997,-0.08,0.72,-1.64
1.002,-0.17,0.86,-1.61
1.006,-0.28,0.94,-1.59
1.012,-0.42,0.98,-1.59
1.016,-0.56,1.01,-1.65
1.021,-0.69,1.07,-1.74
1.026,-0.81,1.13,-1.81
1.032,-0.91,1.18,-1.85
1.042,-0.99,1.21,-1.87
1.044,-1.06,1.26,-1.89
1.047,-1.13,1.32,-1.89
1.061,-1.17,1.39,-1.88
1.063,-1.19,1.47,-1.82
1.063,-1.16,1.57,-1.72
1.066,-1.11,1.67,-1.57
1.076,-1.04,1.74,-1.41
1.076,-0.96,1.80,-1.25
1.081,-0.88,1.85,-1.14
1.087,-0.80,1.90,-1.08
1.091,-0.75,1.93,-1.07
1.096,-0.69,1.95,-1.06
1.102,-0.64,1.96,-1.06
1.106,-0.60,1.96,-1.05
1.111,-0.57,1.93,-1.04
1.116,-0.56,1.87,-1.04
1.121,-0.55,1.78,-1.05
1.126,-0.53,1.67,-1.07
1.131,-0.49,1.58,-1.10
1.142,-0.42,1.49,-1.16
1.144,-0.25,1.41,-1.24
1.147,-0.03,1.38,-1.33
1.151,0.20,1.39,-1.42
1.158,0.43,1.35,-1.52
1.161,0.67,1.26,-1.63
1.165,0.91,1.13,-1.73
1.171,1.13,0.97,-1.80
1.176,1.32,0.81,-1.83
1.182,1.48,0.72,-1.81
1.186,1.57,0.69,-1.71
1.192,1.58,0.72,-1.54
1.198,1.50,0.71,-1.34
1.202,1.32,0.66,-1.12
1.206,1.07,0.62,-0.89
1.211,0.76,0.61,-0.66
1.216,0.40,0.58,-0.44
1.221,0.03,0.54,-0.24
1.226,-0.34,0.52,-0.05
1.231,-0.68,0.54,0.11
1.238,-0.97,0.59,0.23
1.241,-1.20,0.63,0.31
1.246,-1.37,0.63,0.34
1.252,-1.49,0.65,0.34
1.256,-1.55,0.72,0.30
1.261,-1.57,0.81,0.23
1.266,-1.53,0.90,0.14
1.271,-1.45,0.97,0.04
1.279,-1.35,1.06,-0.07
1.281,-1.24,1.16,-0.17
1.286,-1.12,1.28,-0.25
1.291,-1.01,1.40,-0.31
1.296,-0.94,1.47,-0.30
1.301,-0.90,1.48,-0.23
1.306,-0.90,1.49,-0.12
1.311,-0.93,1.48,0.00
1.316,-0.98,1.44,0.15
1.322,-1.06,1.33,0.29
1.326,-1.15,1.17,0.42
1.331,-1.24,0.98,0.52
1.336,-1.32,0.80,0.57
1.341,-1.38,0.65,0.58
1.346,-1.41,0.52,0.54
1.351,-1.43,0.40,0.44
1.357,-1.44,0.29,0.28
1.361,-1.47,0.15,0.02
1.366,-1.50,0.03,-0.23
1.371,-1.49,-0.23,-0.45
1.377,-1.50,-0.27,-0.63
1.381,-1.56,-0.12,-0.76
1.387,-1.67,0.10,-0.85
1.392,-1.79,0.38,-0.89
1.397,-1.92,0.70,-0.87
1.401,-2.03,0.98,-0.80
1.407,-2.07,1.12,-0.68
1.411,-2.04,1.14,-0.50
1.417,-1.96,1.07,-0.27
1.426,-1.85,0.93,-0.02
1.427,-1.73,0.72,0.24
1.432,-1.63,0.44,0.45
1.444,-1.57,0.15,0.61
1.445,-1.57,-0.11,0.73
1.446,-1.62,-0.34,0.81
1.452,-1.71,-0.52,0.86
1.456,-1.82,-0.65,0.85
1.461,-1.93,-0.72,0.82
1.466,-2.04,-0.74,0.77
1.471,-2.15,-0.75,0.72
1.476,-2.26,-0.82,0.65
1.481,-2.35,-0.81,0.52
1.486,-2.42,-0.62,0.36
1.492,-2.44,-0.31,0.26
1.496,-2.42,0.01,0.16
1.502,-2.32,0.17,0.00
1.507,-2.13,-0.00,-0.24
1.511,-1.84,-0.16,-0.50
1.517,-1.57,-0.12,-0.64
1.523,-1.35,-0.07,-0.66
1.527,-1.18,-0.06,-0.59
1.531,-1.08,-0.10,-0.46
1.537,-1.03,-0.19,-0.26
1.541,-1.04,-0.33,-0.03
1.546,-1.10,-0.50,0.20
1.551,-1.21,-0.69,0.43
1.557,-1.35,-0.86,0.63
1.561,-1.50,-0.99,0.76
1.567,-1.65,-1.04,0.84
1.572,-1.81,-1.04,0.85
1.577,-1.94,-1.00,0.80
1.581,-2.06,-0.91,0.71
1.587,-2.15,-0.75,0.58
1.591,-2.21,-0.55,0.44
1.597,-2.24,-0.32,0.27
1.602,-2.26,-0.10,0.09
1.606,-2.27,0.05,-0.10
1.612,-2.28,0.15,-0.27
1.618,-2.31,0.20,-0.43
1.628,-2.34,0.24,-0.54
1.629,-2.38,0.31,-0.61
1.632,-2.41,0.37,-0.64
1.649,-2.44,0.37,-0.65
1.650,-2.46,0.33,-0.62
1.651,-2.46,0.24,-0.56
1.651,-2.42,0.09,-0.40
1.659,-2.35,-0.09,-0.15
1.662,-2.25,-0.26,0.08
1.666,-2.14,-0.42,0.23
1.671,-2.01,-0.57,0.33
1.678,-1.87,-0.75,0.41
1.681,-1.72,-1.00,0.47
1.688,-1.57,-1.18,0.51
1.692,-1.43,-1.27,0.52
1.698,-1.28,-1.27,0.53
1.703,-1.14,-1.23,0.52
1.708,-1.00,-1.21,0.50
1.712,-0.85,-1.23,0.46
1.717,-0.71,-1.24,0.43
1.727,-0.57,-1.22,0.39
1.728,-0.45,-1.19,0.37
1.735,-0.36,-1.16,0.34
1.748,-0.29,-1.10,0.30
1.749,-0.26,-1.01,0.25
1.750,-0.26,-0.89,0.18
1.752,-0.30,-0.79,0.10
1.759,-0.36,-0.70,0.01
1.761,-0.45,-0.61,-0.07
1.767,-0.54,-0.52,-0.15
1.772,-0.64,-0.46,-0.19
1.777,-0.74,-0.46,-0.21
1.782,-0.84,-0.53,-0.19
1.788,-0.95,-0.66,-0.13
1.791,-1.05,-0.84,-0.04
1.797,-1.15,-1.05,0.08
1.802,-1.26,-1.28,0.23
1.807,-1.38,-1.51,0.39
1.811,-1.49,-1.76,0.55
1.817,-1.60,-2.01,0.71
1.828,-1.70,-2.37,0.89
1.829,-1.80,-2.72,1.04
1.832,-1.89,-2.93,1.15
1.847,-1.98,-3.16,1.24
1.848,-2.07,-3.51,1.32
1.849,-2.16,-3.92,1.43
1.852,-2.24,-4.22,1.52
1.858,-2.29,-4.42,1.57
1.861,-2.33,-4.54,1.57
1.866,-2.35,-4.63,1.50
1.871,-2.37,-4.70,1.38
1.876,-2.39,-4.76,1.21
1.881,-2.39,-4.82,0.97
1.888,-2.34,-4.83,0.69
1.892,-2.26,-4.79,0.39
1.897,-2.13,-4.79,0.12
1.902,-1.96,-4.72,-0.11
1.907,-1.77,-4.62,-0.26
1.911,-1.57,-4.54,-0.36
1.917,-1.40,-4.46,-0.41
1.926,-1.23,-4.49,-0.39
1.927,-1.10,-4.65,-0.32
1.932,-1.02,-4.72,-0.21
1.938,-0.99,-4.67,-0.06
1.942,-1.03,-4.53,0.09
1.947,-1.15,-4.27,0.20
1.952,-1.33,-3.92,0.25
1.957,-1.55,-3.61,0.25
1.962,-1.77,-3.40,0.20
1.966,-1.99,-3.24,0.13
1.972,-2.19,-3.12,0.03
1.977,-2.33,-3.00,-0.08
1.982,-2.43,-2.86,-0.19
1.988,-2.47,-2.73,-0.29
1.992,-2.48,-2.64,-0.35
1.997,-2.46,-2.59,-0.38
2.002,-2.45,-2.55,-0.39
2.007,-2.47,-2.48,-0.36
2.012,-2.50,-2.42,-0.30
2.017,-2.53,-2.38,-0.21
2.027,-2.56,-2.34,-0.09
2.028,-2.64,-2.43,0.05
2.031,-2.68,-2.30,0.19
2.038,-2.59,-2.03,0.33
2.042,-2.54,-1.91,0.44
2.047,-2.51,-1.81,0.49
2.052,-2.55,-1.73,0.49
2.057,-2.69,-1.66,0.42
2.062,-2.84,-1.56,0.31
2.067,-2.94,-1.46,0.17
2.072,-2.94,-1.38,0.02
2.077,-2.90,-1.22,-0.14
2.082,-2.97,-0.93,-0.35
2.088,-2.83,-1.02,-0.50
2.092,-2.22,-1.59,-0.49
2.097,-1.30,-2.27,-0.34
2.101,-0.37,-2.71,-0.12
2.107,0.29,-2.84,0.12
2.111,0.54,-2.77,0.35
2.117,0.47,-2.53,0.56
2.125,0.21,-2.28,0.74
2.127,-0.12,-2.16,0.87
2.132,-0.38,-2.21,0.97
2.140,-0.51,-2.37,1.02
2.142,-0.51,-2.49,1.04
2.147,-0.47,-2.47,0.95
2.152,-0.40,-2.35,0.74
2.157,-0.31,-2.19,0.48
2.162,-0.17,-2.07,0.22
2.167,0.03,-2.00,-0.01
2.172,0.27,-1.96,-0.24
2.177,0.47,-1.95,-0.47
2.182,0.61,-1.93,-0.63
2.188,0.67,-1.90,-0.67
2.192,0.65,-1.87,-0.62
2.196,0.55,-1.81,-0.55
2.201,0.40,-1.76,-0.50
2.207,0.24,-1.73,-0.50
2.213,0.13,-1.73,-0.52
2.217,0.10,-1.71,-0.54
2.224,0.17,-1.61,-0.54
2.226,0.32,-1.45,-0.54
2.231,0.48,-1.27,-0.58
2.237,0.63,-1.09,-0.69
2.241,0.71,-0.93,-0.85
2.247,0.72,-0.80,-1.01
2.252,0.66,-0.76,-1.13
2.257,0.55,-0.80,-1.20
2.262,0.46,-0.83,-1.21
2.267,0.45,-0.85,-1.13
2.272,0.56,-0.83,-0.95
2.278,0.71,-0.74,-0.73
2.282,0.83,-0.58,-0.51
2.289,0.86,-0.39,-0.33
2.293,0.78,-0.22,-0.22
2.297,0.62,-0.05,-0.14
2.302,0.44,0.15,-0.09
2.307,0.32,0.41,-0.03
2.312,0.28,0.69,-0.04
2.317,0.32,0.93,-0.11
2.328,0.42,1.13,-0.23
2.329,0.49,1.32,-0.41
2.336,0.53,1.69,-0.71
2.337,0.52,1.86,-1.13
2.348,0.40,1.73,-1.42
2.349,0.18,1.61,-1.53
2.352,-0.09,1.41,-1.51
2.359,-0.33,1.20,-1.36
2.361,-0.52,1.14,-1.10
2.366,-0.66,1.20,-0.87
2.372,-0.72,1.29,-0.73
2.377,-0.67,1.31,-0.70
2.382,-0.51,1.32,-0.73
2.387,-0.27,1.39,-0.76
2.392,0.01,1.50,-0.76
2.397,0.31,1.61,-0.78
2.402,0.64,1.69,-0.80
2.407,0.92,1.78,-0.82
2.412,1.09,1.86,-0.82
2.417,1.13,1.92,-0.80
2.429,1.06,1.96,-0.75
2.430,0.94,2.01,-0.70
2.434,0.86,2.08,-0.65
2.449,0.85,2.13,-0.59
2.450,0.88,2.14,-0.54
2.451,0.86,2.17,-0.49
2.452,0.70,2.32,-0.45
2.460,0.39,2.53,-0.43
2.462,0.05,2.76,-0.48
2.467,-0.19,3.00,-0.58
2.472,-0.29,3.32,-0.70
2.477,-0.26,3.64,-0.85
2.482,-0.15,3.82,-0.95
2.487,0.04,3.79,-0.96
2.492,0.31,3.67,-0.88
2.497,0.66,3.61,-0.77
2.502,1.01,3.55,-0.69
2.507,1.41,3.67,-0.70
2.512,1.81,3.66,-0.85
2.517,2.03,3.36,-0.97
2.530,2.11,2.96,-1.02
2.531,2.13,2.56,-1.02
2.532,2.13,2.20,-0.99
2.538,2.14,1.92,-0.97
2.549,2.14,1.67,-0.96
2.549,2.12,1.44,-0.96
2.552,2.08,1.23,-0.94
2.559,1.97,0.99,-0.85
2.562,1.82,0.74,-0.69
2.567,1.63,0.47,-0.49
2.575,1.44,0.23,-0.30
2.577,1.31,0.10,-0.13
2.582,1.22,0.07,-0.02
2.588,1.14,0.15,0.02
2.592,1.08,0.39,-0.03
2.598,1.04,0.62,-0.10
2.603,0.96,0.73,-0.15
2.608,0.90,0.81,-0.23
2.613,0.86,0.85,-0.32
2.618,0.81,0.87,-0.40
2.629,0.79,0.85,-0.56
2.630,0.85,0.68,-0.77
2.633,0.93,0.42,-0.78
2.651,1.01,0.47,-0.74
2.652,1.00,0.52,-0.68
2.653,0.90,0.18,-0.62
2.653,0.68,-0.25,-0.60
2.666,0.42,-0.35,-0.56
2.668,0.20,-0.24,-0.47
2.668,0.04,-0.16,-0.30
2.677,-0.04,-0.10,-0.11
2.678,-0.07,-0.08,0.01
2.682,-0.07,-0.08,0.09
2.687,-0.06,-0.10,0.12
2.692,-0.07,-0.11,0.15
2.697,-0.12,-0.11,0.17
2.702,-0.22,-0.10,0.21
