time,wx,wy,wz
0.838,-0.56,1.26,-0.43
0.843,-0.59,1.21,-0.41
0.849,-0.65,1.13,-0.42
0.854,-0.73,0.96,-0.48
0.860,-0.84,0.70,-0.58
0.865,-0.94,0.38,-0.69
0.869,-1.04,0.07,-0.82
0.874,-1.11,-0.16,-0.98
0.879,-1.14,-0.28,-1.19
0.884,-1.11,-0.32,-1.44
0.889,-1.01,-0.27,-1.70
0.895,-0.85,-0.16,-1.94
0.899,-0.66,-0.04,-2.10
0.904,-0.50,0.07,-2.15
0.909,-0.37,0.12,-2.10
0.914,-0.29,0.14,-1.95
0.919,-0.23,0.15,-1.73
0.926,-0.21,0.12,-1.50
0.930,-0.25,0.03,-1.31
0.934,-0.33,-0.07,-1.17
0.939,-0.43,-0.19,-1.10
0.944,-0.54,-0.29,-1.06
0.949,-0.65,-0.39,-1.05
0.954,-0.74,-0.49,-1.04
0.959,-0.81,-0.54,-1.04
0.964,-0.85,-0.50,-1.02
0.969,-0.86,-0.39,-1.00
0.974,-0.86,-0.19,-0.95
0.979,-0.84,0.07,-0.89
0.984,-0.84,0.39,-0.81
0.989,-0.84,0.76,-0.71
0.998,-0.86,1.15,-0.61
1.002,-0.87,1.55,-0.52
1.004,-0.87,1.96,-0.45
1.012,-0.84,2.33,-0.38
1.014,-0.78,2.64,-0.33
1.019,-0.71,2.91,-0.27
1.024,-0.62,3.16,-0.21
1.030,-0.54,3.40,-0.14
1.035,-0.44,3.62,-0.07
1.039,-0.34,3.82,0.01
1.044,-0.23,3.99,0.13
1.049,-0.12,4.11,0.28
1.054,-0.01,4.17,0.47
1.059,0.09,4.12,0.67
1.065,0.19,4.00,0.88
1.071,0.28,3.82,1.08
1.075,0.33,3.55,1.28
1.080,0.38,3.26,1.49
1.085,0.41,3.00,1.68
1.090,0.43,2.69,1.83
1.099,0.41,2.30,1.96
1.100,0.35,1.96,2.14
1.105,0.30,1.69,2.41
1.114,0.26,1.43,2.67
1.115,0.19,1.20,2.93
1.119,0.08,0.98,3.16
1.124,-0.10,0.57,3.28
1.129,-0.29,0.16,3.30
1.134,-0.33,0.18,3.25
1.139,-0.22,0.46,3.14
1.145,0.02,0.67,2.99
1.149,0.33,0.71,2.74
1.153,0.58,0.61,2.35
1.159,0.69,0.44,1.88
1.164,0.66,0.23,1.35
1.169,0.52,0.03,0.84
1.174,0.32,-0.05,0.38
1.179,0.18,-0.08,-0.04
1.183,0.11,-0.21,-0.31
1.189,0.13,-0.33,-0.38
1.194,0.20,-0.36,-0.27
1.198,0.25,-0.28,-0.07
1.203,0.26,-0.17,0.13
1.209,0.25,-0.06,0.30
1.216,0.22,0.04,0.43
1.218,0.21,0.11,0.52
1.224,0.22,0.17,0.56
1.229,0.25,0.21,0.56
1.233,0.29,0.27,0.55
1.238,0.34,0.37,0.54
1.243,0.40,0.55,0.56
1.248,0.48,0.83,0.59
1.253,0.58,1.16,0.62
1.259,0.68,1.49,0.64
1.264,0.76,1.80,0.67
1.269,0.86,2.02,0.71
1.276,0.97,2.15,0.74
1.279,1.07,2.18,0.78
1.284,1.16,2.12,0.80
1.289,1.23,1.95,0.80
1.294,1.26,1.73,0.78
1.298,1.27,1.50,0.77
1.304,1.26,1.34,0.77
1.311,1.26,1.32,0.79
1.314,1.27,1.32,0.81
1.319,1.26,1.27,0.80
1.324,1.21,1.15,0.72
1.329,1.10,0.96,0.61
1.334,0.95,0.69,0.54
1.339,0.76,0.37,0.52
1.345,0.57,0.02,0.53
1.350,0.36,-0.34,0.55
1.354,0.16,-0.60,0.59
1.365,0.02,-0.61,0.64
1.366,-0.08,-0.47,0.68
1.370,-0.14,-0.30,0.69
1.374,-0.17,-0.16,0.67
1.381,-0.19,-0.08,0.64
1.384,-0.18,-0.05,0.59
1.389,-0.15,-0.08,0.52
1.394,-0.09,-0.15,0.44
1.399,-0.01,-0.21,0.37
1.404,0.09,-0.21,0.35
1.415,0.17,-0.20,0.35
1.416,0.23,-0.19,0.32
1.419,0.27,-0.18,0.23
1.423,0.30,-0.19,0.10
1.429,0.32,-0.22,-0.06
1.434,0.35,-0.24,-0.25
1.438,0.37,-0.26,-0.45
1.444,0.37,-0.26,-0.67
1.449,0.37,-0.24,-0.88
1.454,0.38,-0.25,-1.03
1.459,0.40,-0.29,-1.09
1.464,0.41,-0.35,-1.02
1.469,0.41,-0.41,-0.75
1.474,0.44,-0.50,-0.26
1.479,0.48,-0.60,0.43
1.484,0.53,-0.71,1.25
1.488,0.61,-0.83,2.05
1.494,0.69,-0.91,2.64
1.498,0.77,-0.89,2.90
1.503,0.87,-0.74,2.80
1.509,0.99,-0.55,2.46
1.513,1.11,-0.41,2.07
1.518,1.20,-0.38,1.79
1.523,1.23,-0.45,1.72
1.528,1.17,-0.55,1.74
1.533,1.07,-0.66,1.70
1.538,0.99,-0.82,1.63
1.544,0.97,-1.05,1.56
1.549,1.00,-1.23,1.51
1.553,1.10,-1.22,1.51
1.559,1.20,-1.05,1.58
1.564,1.24,-0.86,1.66
1.568,1.21,-0.69,1.76
1.573,1.11,-0.54,1.82
1.578,0.97,-0.40,1.75
1.584,0.83,-0.30,1.58
1.588,0.69,-0.19,1.33
1.595,0.56,-0.08,1.05
1.600,0.49,-0.01,0.76
1.604,0.45,-0.02,0.49
1.609,0.42,-0.05,0.23
1.614,0.37,-0.07,0.05
1.619,0.30,-0.03,-0.06
1.624,0.23,0.07,-0.13
1.629,0.20,0.19,-0.16
1.634,0.17,0.34,-0.17
1.638,0.14,0.44,-0.19
1.644,0.09,0.46,-0.20
1.649,0.02,0.49,-0.19
1.653,-0.02,0.61,-0.17
1.659,-0.04,0.72,-0.23
1.664,-0.08,0.68,-0.37
1.669,-0.17,0.51,-0.50
1.673,-0.32,0.40,-0.63
1.679,-0.53,0.36,-0.74
1.684,-0.80,0.29,-0.79
1.689,-1.09,0.38,-0.73
1.699,-1.27,0.65,-0.56
1.700,-1.25,0.93,-0.24
1.704,-1.04,1.06,0.08
1.714,-0.74,1.18,0.29
1.715,-0.43,1.48,0.41
1.719,-0.13,1.57,0.51
1.724,0.08,1.36,0.58
