time,wx,wy,wz
0.001,0.17,0.27,0.42
0.001,0.09,0.31,0.43
0.002,-0.00,0.34,0.43
0.007,-0.09,0.36,0.42
0.012,-0.17,0.39,0.40
0.016,-0.24,0.41,0.38
0.030,-0.30,0.45,0.36
0.031,-0.34,0.49,0.33
0.032,-0.35,0.49,0.31
0.038,-0.35,0.44,0.30
0.042,-0.33,0.35,0.28
0.047,-0.28,0.23,0.24
0.052,-0.23,0.13,0.19
0.057,-0.18,0.07,0.13
0.061,-0.14,0.09,0.05
0.066,-0.10,0.14,-0.05
0.073,-0.07,0.21,-0.14
0.077,-0.05,0.25,-0.22
0.082,-0.03,0.26,-0.28
0.087,0.00,0.24,-0.33
0.092,0.02,0.20,-0.37
0.097,0.03,0.18,-0.40
0.102,0.04,0.18,-0.42
0.107,0.04,0.20,-0.45
0.112,0.02,0.24,-0.45
0.117,-0.00,0.27,-0.45
0.131,-0.02,0.29,-0.42
0.132,-0.04,0.29,-0.37
0.132,-0.06,0.28,-0.32
0.137,-0.07,0.23,-0.24
0.141,-0.08,0.14,-0.15
0.147,-0.09,0.03,-0.06
0.153,-0.09,-0.07,0.02
0.157,-0.09,-0.14,0.09
0.162,-0.08,-0.15,0.15
0.166,-0.07,-0.13,0.18
0.172,-0.07,-0.08,0.19
0.176,-0.07,-0.02,0.19
0.182,-0.07,0.04,0.18
0.188,-0.09,0.10,0.16
0.192,-0.14,0.20,0.14
0.197,-0.19,0.29,0.11
0.202,-0.25,0.36,0.08
0.206,-0.32,0.39,0.04
0.212,-0.41,0.40,-0.00
0.216,-0.51,0.41,-0.05
0.232,-0.64,0.42,-0.10
0.232,-0.78,0.41,-0.14
0.233,-0.92,0.37,-0.16
0.238,-1.05,0.28,-0.15
0.242,-1.16,0.17,-0.13
0.247,-1.22,0.04,-0.08
0.252,-1.22,-0.08,-0.05
0.257,-1.10,-0.21,-0.10
0.261,-0.94,-0.33,-0.18
0.267,-0.78,-0.42,-0.28
0.272,-0.62,-0.47,-0.40
0.277,-0.47,-0.48,-0.54
0.282,-0.33,-0.44,-0.68
0.288,-0.19,-0.35,-0.82
0.292,-0.04,-0.24,-0.94
0.297,0.13,-0.11,-1.05
0.302,0.30,0.02,-1.14
0.307,0.48,0.15,-1.21
0.312,0.66,0.27,-1.24
0.317,0.83,0.38,-1.25
0.323,0.94,0.50,-1.19
0.327,0.95,0.68,-1.04
0.332,0.84,0.93,-0.83
0.337,0.61,1.19,-0.57
0.342,0.36,1.33,-0.37
0.347,0.16,1.30,-0.29
0.352,-0.03,1.15,-0.33
0.357,-0.22,0.94,-0.46
0.362,-0.40,0.68,-0.61
0.367,-0.55,0.38,-0.77
0.372,-0.65,0.06,-0.90
0.377,-0.68,-0.29,-0.98
