time,wx,wy,wz
0.839,-3.68,-4.21,-0.57
0.839,-3.38,-4.33,-0.73
0.845,-2.98,-4.56,-0.95
0.849,-2.56,-4.76,-1.22
0.854,-2.27,-4.82,-1.46
0.858,-1.98,-5.02,-1.65
0.864,-1.57,-5.31,-1.75
0.868,-1.17,-5.49,-1.75
0.873,-0.94,-5.47,-1.69
0.878,-0.91,-5.27,-1.62
0.885,-1.02,-4.98,-1.58
0.889,-1.18,-4.68,-1.56
0.894,-1.24,-4.47,-1.54
0.898,-1.16,-4.32,-1.47
0.904,-0.99,-4.21,-1.38
0.908,-0.75,-4.10,-1.30
0.913,-0.49,-3.97,-1.25
0.918,-0.25,-3.78,-1.19
0.923,-0.05,-3.54,-1.14
0.929,0.10,-3.26,-1.11
0.933,0.20,-2.96,-1.12
0.938,0.27,-2.71,-1.18
0.944,0.31,-2.54,-1.24
0.948,0.33,-2.40,-1.28
0.953,0.34,-2.26,-1.30
0.958,0.36,-2.13,-1.28
0.964,0.35,-2.07,-1.25
0.968,0.33,-2.04,-1.19
0.973,0.29,-2.04,-1.11
0.979,0.24,-2.06,-0.99
0.984,0.14,-2.05,-0.83
0.989,0.00,-2.01,-0.62
0.994,-0.16,-1.93,-0.41
0.998,-0.33,-1.82,-0.20
1.004,-0.48,-1.67,-0.02
1.008,-0.57,-1.51,0.10
1.013,-0.59,-1.34,0.15
1.019,-0.54,-1.18,0.11
1.024,-0.46,-1.00,0.00
1.029,-0.35,-0.80,-0.16
1.034,-0.27,-0.57,-0.36
1.038,-0.20,-0.35,-0.57
1.044,-0.12,-0.16,-0.78
1.048,-0.01,-0.03,-0.98
1.054,0.15,0.04,-1.17
1.059,0.37,0.06,-1.32
1.064,0.60,0.05,-1.42
1.068,0.86,0.03,-1.45
1.074,1.10,-0.03,-1.42
1.079,1.29,-0.14,-1.36
1.084,1.44,-0.29,-1.28
1.089,1.54,-0.43,-1.19
1.094,1.59,-0.55,-1.10
1.098,1.61,-0.64,-1.01
1.104,1.61,-0.69,-0.93
1.108,1.60,-0.72,-0.88
1.114,1.62,-0.75,-0.86
1.120,1.66,-0.79,-0.89
1.124,1.72,-0.85,-0.95
1.130,1.74,-0.94,-1.00
1.135,1.73,-1.00,-1.00
1.138,1.75,-1.03,-1.00
1.144,1.75,-1.03,-0.98
1.149,1.67,-1.02,-0.93
1.154,1.49,-0.99,-0.88
1.159,1.30,-0.91,-0.85
1.164,1.13,-0.82,-0.87
1.169,1.00,-0.73,-0.92
1.174,0.89,-0.62,-1.00
1.180,0.84,-0.49,-1.12
1.184,0.87,-0.35,-1.26
1.189,0.99,-0.23,-1.33
1.195,1.21,-0.08,-1.33
1.199,1.45,0.06,-1.30
1.204,1.60,0.14,-1.24
1.208,1.63,0.26,-1.13
1.214,1.58,0.35,-0.97
1.219,1.51,0.43,-0.75
1.224,1.43,0.55,-0.47
1.230,1.40,0.61,-0.17
1.234,1.44,0.66,0.15
1.239,1.50,0.73,0.44
1.246,1.54,0.75,0.69
1.250,1.54,0.75,0.90
1.254,1.50,0.94,1.08
1.259,1.44,1.16,1.21
1.264,1.35,1.11,1.23
1.269,1.24,0.83,1.14
1.275,1.22,0.57,1.02
1.279,1.35,0.53,0.87
1.288,1.45,0.56,0.66
1.289,1.16,0.59,0.40
1.296,0.50,0.87,0.15
1.300,-0.14,1.49,-0.03
1.304,-0.49,2.34,-0.06
1.309,-0.63,3.28,0.04
1.317,-0.67,4.31,0.33
1.319,-0.58,5.21,0.80
1.324,-0.37,5.91,1.28
1.330,-0.13,6.45,1.71
1.334,0.11,6.88,2.10
1.339,0.37,7.26,2.45
1.345,0.58,7.49,2.74
1.352,0.70,7.33,2.95
1.354,0.68,6.64,3.07
1.359,0.51,5.02,3.02
1.364,0.40,2.16,2.74
1.369,0.45,-0.70,2.29
1.375,0.35,-2.42,1.87
1.379,0.03,-3.02,1.55
1.384,-0.37,-3.05,1.26
1.389,-0.75,-2.84,0.97
1.394,-1.05,-2.50,0.74
1.399,-1.27,-2.00,0.58
1.404,-1.38,-1.31,0.48
1.410,-1.39,-0.57,0.40
1.415,-1.33,-0.06,0.35
1.420,-1.24,0.12,0.31
1.424,-1.13,0.01,0.28
1.433,-1.01,-0.39,0.27
1.436,-0.87,-0.98,0.28
1.439,-0.73,-1.63,0.31
1.446,-0.62,-2.21,0.38
1.451,-0.54,-2.68,0.47
1.454,-0.50,-3.05,0.59
1.459,-0.48,-3.31,0.71
1.464,-0.48,-3.44,0.83
1.469,-0.47,-3.42,0.94
1.475,-0.46,-3.28,1.04
1.479,-0.45,-3.05,1.14
1.484,-0.43,-2.74,1.22
1.489,-0.43,-2.36,1.33
1.494,-0.43,-1.97,1.45
1.499,-0.43,-1.62,1.59
1.504,-0.44,-1.41,1.76
1.509,-0.44,-1.37,1.93
1.514,-0.45,-1.44,2.08
1.519,-0.47,-1.53,2.23
1.524,-0.47,-1.61,2.33
1.530,-0.48,-1.68,2.39
1.534,-0.48,-1.66,2.40
1.539,-0.47,-1.57,2.40
1.544,-0.48,-1.41,2.38
1.549,-0.48,-1.21,2.35
1.554,-0.45,-1.02,2.31
1.559,-0.41,-0.88,2.25
1.564,-0.34,-0.78,2.17
1.569,-0.26,-0.74,2.05
1.574,-0.18,-0.76,1.86
1.579,-0.11,-0.78,1.66
1.584,-0.06,-0.78,1.47
1.589,-0.02,-0.81,1.32
1.594,-0.01,-0.81,1.22
1.599,-0.02,-0.77,1.15
1.604,-0.04,-0.69,1.10
1.609,-0.06,-0.62,1.09
1.614,-0.09,-0.57,1.10
1.619,-0.14,-0.54,1.15
1.624,-0.19,-0.48,1.23
1.633,-0.25,-0.39,1.36
1.634,-0.31,-0.28,1.51
1.639,-0.35,-0.19,1.69
1.644,-0.38,-0.16,1.87
1.649,-0.36,-0.20,2.05
1.655,-0.28,-0.28,2.21
1.659,-0.14,-0.40,2.34
1.664,0.08,-0.54,2.43
1.669,0.35,-0.65,2.48
1.674,0.65,-0.69,2.51
1.679,0.91,-0.69,2.52
1.684,1.12,-0.69,2.53
1.689,1.27,-0.74,2.55
1.696,1.36,-0.85,2.54
1.699,1.40,-1.03,2.52
1.704,1.41,-1.24,2.48
1.709,1.39,-1.44,2.42
1.715,1.33,-1.58,2.33
1.720,1.24,-1.65,2.21
1.724,1.12,-1.65,2.09
1.733,0.99,-1.56,1.96
1.737,0.86,-1.40,1.82
1.739,0.75,-1.21,1.69
1.744,0.68,-1.03,1.57
1.750,0.63,-0.88,1.45
1.757,0.60,-0.75,1.35
1.759,0.56,-0.66,1.27
1.764,0.52,-0.59,1.20
1.769,0.47,-0.51,1.15
1.774,0.41,-0.43,1.14
1.780,0.33,-0.36,1.17
1.784,0.25,-0.24,1.26
1.789,0.18,-0.07,1.42
1.794,0.10,0.11,1.65
1.800,0.03,0.24,1.91
1.804,-0.03,0.28,2.20
1.809,-0.05,0.24,2.52
1.815,-0.02,0.16,2.83
1.819,0.04,0.05,3.11
1.824,0.13,-0.07,3.35
1.832,0.26,-0.19,3.54
1.838,0.41,-0.35,3.68
1.840,0.56,-0.55,3.74
1.844,0.71,-0.79,3.75
1.852,0.87,-1.07,3.71
1.856,1.03,-1.44,3.62
1.859,1.17,-1.92,3.47
1.865,1.30,-2.51,3.27
1.869,1.42,-3.20,3.03
1.875,1.54,-3.98,2.74
1.881,1.66,-4.81,2.39
1.884,1.78,-5.63,1.97
1.889,1.91,-6.38,1.49
1.894,2.06,-6.86,0.73
1.899,2.25,-6.76,-0.74
1.904,2.37,-5.91,-2.70
1.909,2.17,-4.85,-4.35
1.920,1.75,-3.94,-5.04
1.921,1.45,-3.23,-4.87
1.925,1.49,-2.83,-4.27
1.933,1.87,-2.42,-3.60
1.934,2.29,-2.06,-3.02
1.939,2.53,-1.88,-2.63
1.944,2.51,-1.84,-2.39
1.949,2.22,-1.88,-2.20
1.954,1.80,-1.85,-2.02
1.960,1.36,-1.75,-1.81
1.964,0.91,-1.71,-1.60
1.969,0.46,-1.74,-1.40
1.974,0.05,-1.79,-1.23
1.981,-0.30,-1.83,-1.11
1.984,-0.55,-1.86,-1.04
1.989,-0.65,-1.86,-0.98
1.994,-0.63,-1.78,-0.92
1.999,-0.51,-1.64,-0.88
2.004,-0.35,-1.48,-0.85
2.009,-0.15,-1.20,-0.81
2.014,0.04,-0.80,-0.75
2.020,0.18,-0.46,-0.70
2.024,0.26,-0.18,-0.64
2.034,0.27,0.08,-0.59
2.034,0.22,0.32,-0.53
2.039,0.13,0.55,-0.45
2.044,0.03,0.73,-0.36
2.049,-0.04,0.84,-0.25
2.054,-0.10,0.89,-0.12
2.059,-0.15,0.91,-0.01
2.065,-0.19,0.89,0.12
2.069,-0.21,0.85,0.24
2.074,-0.23,0.78,0.35
2.080,-0.23,0.68,0.43
2.084,-0.23,0.54,0.49
2.089,-0.22,0.41,0.54
2.094,-0.23,0.27,0.55
2.099,-0.24,0.13,0.55
2.104,-0.27,-0.02,0.54
2.110,-0.31,-0.16,0.53
2.117,-0.38,-0.31,0.52
2.120,-0.47,-0.40,0.53
2.125,-0.58,-0.38,0.58
2.133,-0.71,-0.26,0.68
2.135,-0.83,-0.08,0.83
2.140,-0.95,0.09,1.01
2.145,-1.04,0.25,1.21
2.152,-1.10,0.39,1.40
2.154,-1.13,0.51,1.59
2.160,-1.11,0.61,1.77
2.165,-1.07,0.71,1.92
2.169,-1.00,0.80,2.06
2.176,-0.92,0.91,2.17
2.180,-0.84,1.06,2.26
2.184,-0.78,1.24,2.30
2.189,-0.76,1.44,2.31
2.195,-0.77,1.61,2.30
2.199,-0.80,1.77,2.26
2.205,-0.86,1.98,2.19
2.210,-0.96,2.24,2.07
2.215,-1.08,2.53,1.90
2.220,-1.21,2.82,1.69
2.225,-1.34,3.07,1.48
2.233,-1.47,3.25,1.26
2.238,-1.58,3.36,1.05
2.241,-1.66,3.41,0.83
2.245,-1.72,3.36,0.63
2.250,-1.77,3.19,0.44
2.255,-1.79,2.87,0.28
2.260,-1.78,2.38,0.14
2.265,-1.74,1.76,0.02
2.269,-1.66,1.04,-0.09
2.275,-1.53,0.31,-0.19
2.280,-1.36,-0.40,-0.28
2.285,-1.15,-1.07,-0.35
2.290,-0.91,-1.67,-0.39
2.295,-0.65,-2.21,-0.36
2.300,-0.37,-2.62,-0.29
2.305,-0.12,-2.88,-0.19
2.309,0.08,-2.95,-0.08
2.315,0.24,-2.83,-0.01
2.320,0.32,-2.52,0.05
2.325,0.36,-2.08,0.07
2.331,0.38,-1.55,0.05
2.335,0.38,-0.97,0.03
2.339,0.38,-0.30,0.01
2.344,0.45,0.21,-0.02
2.350,0.57,0.55,-0.07
2.354,0.68,0.81,-0.11
2.359,0.77,1.15,-0.14
2.365,0.76,1.57,-0.19
2.369,0.65,1.92,-0.25
2.375,0.47,2.07,-0.30
2.380,0.24,1.93,-0.34
2.385,0.01,1.53,-0.36
2.389,-0.17,1.02,-0.37
2.395,-0.27,0.54,-0.36
2.400,-0.33,0.12,-0.32
2.405,-0.42,-0.19,-0.30
2.410,-0.57,-0.24,-0.30
2.415,-0.67,0.09,-0.29
2.420,-0.61,0.73,-0.24
2.435,-0.45,1.45,-0.18
2.436,-0.33,1.97,-0.11
2.436,-0.31,2.16,-0.07
