time,wx,wy,wz
0.832,-2.61,-2.94,0.79
0.837,-2.58,-3.01,0.58
0.843,-2.55,-3.13,0.38
0.847,-2.52,-3.29,0.22
0.852,-2.46,-3.45,0.09
0.857,-2.37,-3.61,0.01
0.864,-2.25,-3.74,-0.05
0.867,-2.11,-3.81,-0.12
0.872,-1.96,-3.84,-0.20
0.878,-1.80,-3.85,-0.31
0.882,-1.64,-3.83,-0.45
0.887,-1.49,-3.78,-0.58
0.892,-1.36,-3.71,-0.72
0.897,-1.23,-3.65,-0.86
0.902,-1.12,-3.62,-0.99
0.907,-1.01,-3.58,-1.14
0.912,-0.92,-3.51,-1.28
0.917,-0.83,-3.43,-1.42
0.922,-0.74,-3.35,-1.53
0.928,-0.65,-3.29,-1.60
0.932,-0.53,-3.22,-1.60
0.937,-0.44,-3.09,-1.56
0.942,-0.37,-2.94,-1.49
0.947,-0.32,-2.75,-1.42
0.952,-0.28,-2.57,-1.37
0.957,-0.24,-2.40,-1.35
0.968,-0.20,-2.24,-1.36
0.969,-0.13,-2.08,-1.40
0.973,-0.05,-1.92,-1.44
0.986,0.04,-1.75,-1.49
0.987,0.11,-1.56,-1.55
0.987,0.17,-1.38,-1.62
0.992,0.22,-1.21,-1.70
0.998,0.25,-1.10,-1.77
1.002,0.30,-1.05,-1.83
1.007,0.34,-1.01,-1.88
1.012,0.41,-1.00,-1.92
1.017,0.50,-0.99,-1.94
1.022,0.59,-0.95,-1.94
1.027,0.67,-0.88,-1.91
1.032,0.72,-0.82,-1.85
1.036,0.75,-0.78,-1.79
1.042,0.74,-0.73,-1.70
1.046,0.73,-0.67,-1.59
1.051,0.71,-0.63,-1.46
1.056,0.67,-0.58,-1.32
1.063,0.65,-0.54,-1.19
1.066,0.67,-0.49,-1.06
1.072,0.73,-0.44,-0.94
1.077,0.86,-0.39,-0.83
1.082,1.02,-0.35,-0.73
1.087,1.18,-0.32,-0.64
1.091,1.31,-0.28,-0.57
1.096,1.41,-0.19,-0.54
1.102,1.45,-0.13,-0.52
1.107,1.40,-0.08,-0.50
1.112,1.21,-0.13,-0.41
1.117,0.98,-0.30,-0.28
1.122,0.81,-0.52,-0.16
1.128,0.79,-0.73,-0.08
1.132,0.82,-0.87,0.01
1.137,0.83,-0.86,0.07
1.142,0.78,-0.78,0.11
1.147,0.73,-0.61,0.07
1.152,0.70,-0.38,-0.07
1.157,0.68,-0.10,-0.27
1.168,0.60,0.24,-0.48
1.169,0.43,0.53,-0.66
1.173,0.23,0.79,-0.79
1.187,0.05,1.04,-0.84
1.188,-0.10,1.22,-0.82
1.188,-0.23,1.28,-0.76
1.192,-0.32,1.19,-0.67
1.200,-0.34,1.00,-0.56
1.202,-0.27,0.76,-0.44
1.207,-0.15,0.50,-0.35
1.212,-0.03,0.30,-0.31
1.217,0.08,0.16,-0.32
1.222,0.19,0.10,-0.34
1.227,0.30,0.10,-0.34
1.231,0.40,0.15,-0.30
1.237,0.49,0.21,-0.23
1.242,0.52,0.21,-0.09
1.252,0.47,0.22,0.10
1.253,0.37,0.26,0.24
1.259,0.25,0.32,0.34
1.271,0.14,0.43,0.37
1.271,0.05,0.63,0.35
1.272,-0.00,0.90,0.26
1.277,-0.05,1.23,0.12
1.283,-0.08,1.55,-0.05
1.287,-0.09,1.77,-0.23
1.292,-0.09,1.88,-0.43
1.311,-0.08,1.86,-0.60
1.312,-0.05,1.79,-0.75
1.312,-0.01,1.67,-0.86
1.313,-0.01,1.49,-0.91
1.316,-0.06,1.33,-0.93
1.322,-0.07,1.21,-0.94
1.327,-0.09,1.06,-0.91
1.332,-0.14,0.94,-0.82
1.337,-0.20,0.88,-0.68
1.342,-0.26,0.82,-0.52
1.352,-0.31,0.79,-0.33
1.353,-0.35,0.77,-0.17
1.357,-0.38,0.79,-0.06
1.372,-0.39,0.83,0.01
1.372,-0.40,0.88,0.05
1.373,-0.42,0.97,0.05
1.378,-0.41,1.06,0.02
1.383,-0.38,1.11,-0.04
1.386,-0.34,1.13,-0.09
1.391,-0.31,1.12,-0.13
1.397,-0.31,1.10,-0.14
1.402,-0.32,1.04,-0.15
1.407,-0.33,0.95,-0.16
1.412,-0.33,0.86,-0.17
1.417,-0.34,0.78,-0.16
1.422,-0.35,0.75,-0.15
1.429,-0.36,0.78,-0.13
1.432,-0.37,0.85,-0.11
1.437,-0.37,0.94,-0.08
1.442,-0.37,1.03,-0.04
1.447,-0.38,1.17,0.02
1.452,-0.39,1.32,0.10
1.457,-0.39,1.47,0.20
