time,wx,wy,wz
0.899,-0.01,0.08,-0.01
0.904,-0.02,0.06,-0.02
0.909,-0.02,0.05,-0.03
0.915,-0.02,0.05,-0.03
0.920,-0.02,0.04,-0.03
0.926,-0.02,0.03,-0.03
0.929,-0.01,0.01,-0.03
0.936,-0.01,-0.00,-0.02
0.940,-0.00,0.00,-0.02
0.945,0.01,0.00,-0.02
0.950,0.02,0.01,-0.01
0.954,0.02,0.02,-0.01
0.960,0.04,0.03,0.01
0.964,0.04,0.04,0.01
0.970,0.05,0.05,0.02
0.974,0.04,0.07,0.02
0.979,0.04,0.08,0.02
0.984,0.03,0.09,0.02
0.991,0.02,0.10,0.02
0.995,0.01,0.10,0.02
0.999,0.00,0.10,0.03
1.005,-0.01,0.09,0.03
1.009,-0.02,0.08,0.02
1.015,-0.03,0.07,0.02
1.021,-0.03,0.05,0.02
1.025,-0.04,0.04,0.02
1.030,-0.04,0.03,0.02
1.038,-0.04,0.03,0.02
1.040,-0.04,0.02,0.03
1.045,-0.04,0.02,0.03
1.049,-0.04,0.02,0.04
1.054,-0.03,0.01,0.04
1.060,-0.03,0.01,0.05
1.065,-0.02,0.00,0.04
1.071,-0.01,0.00,0.04
1.075,0.01,0.01,0.04
1.080,0.02,0.00,0.04
1.084,0.04,-0.00,0.03
1.090,0.05,-0.01,0.03
1.096,0.06,-0.01,0.02
1.100,0.06,-0.01,0.02
1.105,0.05,-0.00,0.01
1.110,0.04,-0.00,0.01
1.115,0.03,-0.00,0.01
1.119,0.02,-0.01,0.01
1.124,0.01,-0.02,0.01
1.130,0.00,-0.02,0.01
1.135,-0.01,-0.02,0.01
1.140,-0.01,-0.02,0.00
1.145,-0.01,-0.01,0.01
1.149,-0.01,-0.00,0.01
1.154,-0.01,0.01,0.01
1.159,-0.01,0.03,0.01
1.165,-0.01,0.05,0.01
1.169,-0.01,0.07,0.01
1.174,-0.01,0.08,0.02
1.179,-0.01,0.09,0.01
1.184,0.00,0.09,0.01
1.189,0.00,0.08,0.02
1.194,0.01,0.08,0.02
1.199,0.01,0.07,0.02
1.204,0.01,0.07,0.03
1.210,-0.00,0.07,0.03
1.214,-0.01,0.07,0.03
1.219,-0.02,0.07,0.04
1.224,-0.03,0.07,0.04
1.229,-0.03,0.07,0.04
1.234,-0.04,0.07,0.04
1.239,-0.05,0.07,0.04
1.244,-0.05,0.07,0.04
1.249,-0.05,0.07,0.04
1.254,-0.06,0.07,0.04
1.259,-0.06,0.07,0.04
1.264,-0.06,0.06,0.04
1.269,-0.05,0.05,0.04
1.274,-0.05,0.05,0.04
1.279,-0.04,0.04,0.04
1.284,-0.03,0.04,0.04
1.289,-0.02,0.04,0.04
1.294,-0.02,0.04,0.03
1.299,-0.01,0.04,0.03
1.304,-0.00,0.05,0.03
1.309,0.00,0.05,0.03
1.314,0.01,0.06,0.02
1.319,0.01,0.06,0.02
1.324,0.01,0.06,0.02
1.329,0.01,0.06,0.02
1.334,0.02,0.05,0.01
1.339,0.01,0.05,0.01
1.344,0.01,0.03,0.01
1.349,0.01,0.02,0.01
1.354,-0.00,0.01,0.01
1.360,-0.01,0.00,0.00
1.364,-0.01,-0.01,-0.01
1.369,-0.01,-0.02,-0.01
1.375,-0.00,-0.04,-0.01
1.379,0.01,-0.06,-0.01
1.384,0.01,-0.07,-0.02
1.389,0.01,-0.09,-0.02
1.394,0.01,-0.09,-0.02
1.399,0.02,-0.09,-0.01
1.404,0.02,-0.08,-0.02
1.409,0.08,-0.06,-0.02
1.415,0.18,-0.02,-0.03
1.419,0.24,0.05,-0.01
1.424,0.24,0.12,0.03
1.429,0.20,0.19,0.08
1.434,0.12,0.22,0.11
1.439,0.03,0.21,0.11
1.444,-0.06,0.15,0.09
1.449,-0.12,0.05,0.04
1.455,-0.16,-0.05,-0.00
1.460,-0.19,-0.13,-0.03
1.465,-0.21,-0.17,-0.06
1.470,-0.21,-0.16,-0.07
1.476,-0.21,-0.13,-0.08
1.480,-0.20,-0.09,-0.07
1.485,-0.17,-0.07,-0.05
1.493,-0.12,-0.06,-0.04
1.495,-0.07,-0.05,-0.02
1.499,-0.01,-0.03,-0.01
1.504,0.04,-0.01,0.01
1.509,0.08,0.01,0.03
1.514,0.12,0.02,0.05
1.519,0.14,0.04,0.07
1.524,0.15,0.05,0.07
1.529,0.14,0.05,0.07
1.534,0.13,0.04,0.08
1.539,0.11,0.04,0.07
1.544,0.08,0.03,0.06
1.550,0.05,0.02,0.05
1.555,0.01,0.00,0.05
1.560,-0.02,-0.00,0.04
1.564,-0.04,-0.01,0.03
1.570,-0.07,-0.02,0.03
1.574,-0.09,-0.02,0.02
1.579,-0.10,-0.02,0.02
1.585,-0.11,-0.02,0.02
